"Name","FolderPath","ItemCount","TotalItemSize"
"IPM_SUBTREE","IPM_SUBTREE","0","0 B (0 bytes)"
"Business Development 1","Business Development 1","0","0 B (0 bytes)"
"AHR","Business Development 1 AHR","3","294.8 KB (301,904 bytes)"
"Aldershot Lido","Business Development 1 Aldershot Lido","1","93.95 KB (96,208 bytes)"
"All About Technology","Business Development 1 All About Technology","1","2.772 MB (2,907,041 bytes)"
"Alliance Leisure","Business Development 1 Alliance Leisure","46","44.04 MB (46,179,058 bytes)"
"Amersham","Business Development 1 Amersham","6","962.2 KB (985,275 bytes)"
"Anderson Green","Business Development 1 Anderson Green","1","2.592 MB (2,717,640 bytes)"
"Argent","Business Development 1 Argent","9","1.185 MB (1,242,964 bytes)"
"Arizon","Business Development 1 Arizon","7","859.1 KB (879,726 bytes)"
"Ashfield Borough Council","Business Development 1 Ashfield Borough Council","52","20.58 MB (21,576,525 bytes)"
"Ayr leisure centre","Business Development 1 Ayr leisure centre","2","3.469 MB (3,637,487 bytes)"
"Balham Leisure Centre","Business Development 1 Balham Leisure Centre","1","164 KB (167,914 bytes)"
"Basingstoke","Business Development 1 Basingstoke","6","20.95 MB (21,963,444 bytes)"
"Berkhamsted","Business Development 1 Berkhamsted","13","12.51 MB (13,114,986 bytes)"
"Billericay","Business Development 1 Billericay","4","782.6 KB (801,410 bytes)"
"Birmingham 2022 Commonwealth Games","Business Development 1 Birmingham 2022 Commonwealth Games","2","1.505 MB (1,578,005 bytes)"
"BLOOM (formally NEPRO)","Business Development 1 BLOOM (formally NEPRO)","28","36.13 MB (37,887,049 bytes)"
"Bourne Leisure - Rockley Park","Business Development 1 Bourne Leisure - Rockley Park","78","57.96 MB (60,779,616 bytes)"
"Bramcote","Business Development 1 Bramcote","26","44.97 MB (47,156,848 bytes)"
"Brent","Business Development 1 Brent","15","1.445 MB (1,514,848 bytes)"
"Brentwood - Leisure village and park","Business Development 1 Brentwood - Leisure village and park","3","4.902 MB (5,139,799 bytes)"
"Broom Hill Lido","Business Development 1 Broom Hill Lido","6","3.129 MB (3,281,516 bytes)"
"Broxtowe","Business Development 1 Broxtowe","1","91.95 KB (94,161 bytes)"
"BTY - Canada","Business Development 1 BTY - Canada","3","231.9 KB (237,492 bytes)"
"BUCS","Business Development 1 BUCS","3","3.424 MB (3,590,536 bytes)"
"Cardiff University","Business Development 1 Cardiff University","14","8.87 MB (9,300,606 bytes)"
"Cayman Islands","Business Development 1 Cayman Islands","178","134 MB (140,535,671 bytes)"
"Chelsea FC","Business Development 1 Chelsea FC","7","16.19 MB (16,980,554 bytes)"
"Colchester","Business Development 1 Colchester","19","34.08 MB (35,734,731 bytes)"
"Commonwealth pool - Sandwell","Business Development 1 Commonwealth pool - Sandwell","4","615.6 KB (630,374 bytes)"
"Crystal Palace","Business Development 1 Crystal Palace","22","18.85 MB (19,770,898 bytes)"
"Crystal Palace Park (GLA)","Business Development 1 Crystal Palace Park (GLA)","4","21.73 MB (22,786,274 bytes)"
"Daventry","Business Development 1 Daventry","2","219.5 KB (224,774 bytes)"
"Dover DC - Cable car","Business Development 1 Dover DC - Cable car","3","1.122 MB (1,176,640 bytes)"
"Eastbourne","Business Development 1 Eastbourne","22","16.41 MB (17,207,708 bytes)"
"Essex","Business Development 1 Essex","73","28.5 MB (29,884,483 bytes)"
"Events","Business Development 1 Events","0","0 B (0 bytes)"
"Dover Showcase","Business Development 1 Events Dover Showcase","9","28.7 MB (30,093,336 bytes)"
"Warwick Showcase","Business Development 1 Events Warwick Showcase","16","10.54 MB (11,054,751 bytes)"
"Folkestone & Hythe District Council","Business Development 1 Folkestone & Hythe District Council","1","363.9 KB (372,666 bytes)"
"Frameworks","Business Development 1 Frameworks","0","0 B (0 bytes)"
"Procure Partnerships","Business Development 1 Frameworks Procure Partnerships","5","858.4 KB (879,036 bytes)"
"Great Yarmouth","Business Development 1 Great Yarmouth","49","15.38 MB (16,129,049 bytes)"
"GT3","Business Development 1 GT3","4","2.489 MB (2,610,090 bytes)"
"Guildford","Business Development 1 Guildford","1","171.9 KB (176,001 bytes)"
"Hackney","Business Development 1 Hackney","420","632.6 MB (663,347,575 bytes)"
"Hastings","Business Development 1 Hastings","13","27.72 MB (29,070,116 bytes)"
"Havering","Business Development 1 Havering","1","126.6 KB (129,622 bytes)"
"Hucknall","Business Development 1 Hucknall","18","19.37 MB (20,314,169 bytes)"
"Illuminated River","Business Development 1 Illuminated River","1","8.07 KB (8,264 bytes)"
"Jersey","Business Development 1 Jersey","51","29.18 MB (30,599,532 bytes)"
"Kingston","Business Development 1 Kingston","46","45.9 MB (48,131,752 bytes)"
"Kirkby-in-Ashfield","Business Development 1 Kirkby-in-Ashfield","115","184.6 MB (193,576,896 bytes)"
"Lee Valley Ice Centre","Business Development 1 Lee Valley Ice Centre","197","177.5 MB (186,075,856 bytes)"
"Leeds City Council","Business Development 1 Leeds City Council","5","542.4 KB (555,412 bytes)"
"Leisure Energy","Business Development 1 Leisure Energy","1","132.7 KB (135,881 bytes)"
"Longleat","Business Development 1 Longleat","134","157 MB (164,658,297 bytes)"
"McBains","Business Development 1 McBains","2","114.6 KB (117,307 bytes)"
"Medway","Business Development 1 Medway","57","38.98 MB (40,869,710 bytes)"
"Melton Borough Council - Leisure Centre","Business Development 1 Melton Borough Council - Leisure Centre","2","1.536 MB (1,610,555 bytes)"
"Misc","Business Development 1 Misc","82","38.63 MB (40,510,833 bytes)"
"Moneystone Park - Stoke of Trent","Business Development 1 Moneystone Park - Stoke of Trent","26","74.62 MB (78,245,573 bytes)"
"Museum of Millitary Intelligence","Business Development 1 Museum of Millitary Intelligence","21","5.692 MB (5,968,275 bytes)"
"Newham","Business Development 1 Newham","3","9.351 MB (9,805,383 bytes)"
"Northwick Park Hospital","Business Development 1 Northwick Park Hospital","19","6.482 MB (6,797,054 bytes)"
"Nuneaton","Business Development 1 Nuneaton","17","7.599 MB (7,967,881 bytes)"
"Oxford Brookes University","Business Development 1 Oxford Brookes University","36","53.13 MB (55,709,066 bytes)"
"Perfect Circle (Gleeds)","Business Development 1 Perfect Circle (Gleeds)","10","2.664 MB (2,793,541 bytes)"
"Pingles Leisure Centre","Business Development 1 Pingles Leisure Centre","4","15.91 MB (16,680,208 bytes)"
"Portsmouth University","Business Development 1 Portsmouth University","4","9.804 MB (10,280,087 bytes)"
"President Kennedy School - Coventry","Business Development 1 President Kennedy School - Coventry","15","4.486 MB (4,703,444 bytes)"
"Prince of Wales Drive","Business Development 1 Prince of Wales Drive","16","36.29 MB (38,048,867 bytes)"
"Public Contracts Scotland","Business Development 1 Public Contracts Scotland","1","76.7 KB (78,542 bytes)"
"QPR","Business Development 1 QPR","1","8.23 MB (8,629,428 bytes)"
"REM","Business Development 1 REM","26","82.19 MB (86,185,968 bytes)"
"RFU","Business Development 1 RFU","3","3.715 MB (3,894,996 bytes)"
"Rushcliffe","Business Development 1 Rushcliffe","198","285.5 MB (299,316,964 bytes)"
"Scottish Stadium - Reiach and Hall","Business Development 1 Scottish Stadium - Reiach and Hall","2","812.3 KB (831,768 bytes)"
"Sealanes Brighton","Business Development 1 Sealanes Brighton","1","114.5 KB (117,240 bytes)"
"Seymour","Business Development 1 Seymour","20","8.907 MB (9,339,772 bytes)"
"Sharley Park","Business Development 1 Sharley Park","10","20.95 MB (21,967,330 bytes)"
"Shrewsbury","Business Development 1 Shrewsbury","7","1.045 MB (1,096,130 bytes)"
"Spelthorne","Business Development 1 Spelthorne","36","9.642 MB (10,109,991 bytes)"
"Sport England","Business Development 1 Sport England","2","241.2 KB (247,020 bytes)"
"St Albans","Business Development 1 St Albans","7","11.68 MB (12,247,250 bytes)"
"St Helens","Business Development 1 St Helens","2","4.389 MB (4,602,485 bytes)"
"Stevenage","Business Development 1 Stevenage","15","44.83 MB (47,011,570 bytes)"
"Surrey Sports Park","Business Development 1 Surrey Sports Park","58","45.61 MB (47,826,065 bytes)"
"Tehran Stadium - Iran","Business Development 1 Tehran Stadium - Iran","147","27.74 MB (29,083,910 bytes)"
"Tides","Business Development 1 Tides","6","868.3 KB (889,187 bytes)"
"Tunbridge Wells","Business Development 1 Tunbridge Wells","3","7.995 MB (8,383,217 bytes)"
"Twickenham","Business Development 1 Twickenham","5","4.778 MB (5,010,474 bytes)"
"University of Warwick","Business Development 1 University of Warwick","62","69.42 MB (72,790,218 bytes)"
"University of Worcester","Business Development 1 University of Worcester","0","0 B (0 bytes)"
"Waltham Forest","Business Development 1 Waltham Forest","1","1.517 MB (1,591,202 bytes)"
"Wasps","Business Development 1 Wasps","31","9.66 MB (10,129,603 bytes)"
"Weston Favell","Business Development 1 Weston Favell","44","25.99 MB (27,251,389 bytes)"
"Winchester","Business Development 1 Winchester","46","60.15 MB (63,069,145 bytes)"
"Woolwich Leisure Centre","Business Development 1 Woolwich Leisure Centre","37","37.09 MB (38,895,345 bytes)"
"Woolwich Town Centre","Business Development 1 Woolwich Town Centre","17","19 MB (19,922,944 bytes)"
"Work.Life","Business Development 1 Work.Life","2","730 KB (747,550 bytes)"
"Worthing","Business Development 1 Worthing","3","1.632 MB (1,711,508 bytes)"
"Business Development 2","Business Development 2","0","0 B (0 bytes)"
"Ealing - Dormers Wells","Business Development 2 Ealing - Dormers Wells","3","479.5 KB (491,003 bytes)"
"Ealing - Gurnell","Business Development 2 Ealing - Gurnell","4","3.824 MB (4,010,248 bytes)"
"Exeter University","Business Development 2 Exeter University","3","9.996 MB (10,481,605 bytes)"
"Newham","Business Development 2 Newham","648","743.8 MB (779,923,625 bytes)"
"Client A-D","Client A-D","0","0 B (0 bytes)"
"Client (A)","Client A-D Client (A)","0","0 B (0 bytes)"
"Alliance Leisure","Client A-D Client (A) Alliance Leisure","0","0 B (0 bytes)"
"Portsmouth Activity Hub","Client A-D Client (A) Alliance Leisure Portsmouth Activity Hub","1241","1.291 GB (1,386,012,102 bytes)"
"Spalding - Health & Wellbeing Hub","Client A-D Client (A) Alliance Leisure Spalding - Health & Wellbeing Hub","0","0 B (0 bytes)"
"Alliance Leisure - Kingston Leisure Centre","Client A-D Client (A) Alliance Leisure - Kingston Leisure Centre","0","0 B (0 bytes)"
